[01/16/17 11:53:28] Server Open OK # Port:5000
[01/16/17 12:57:32] Frame : 25  Loop : 48453
[01/16/17 12:57:33] Frame : 19  Loop : 17100
[01/16/17 12:57:34] Frame : 31  Loop : 608
[01/16/17 12:57:35] Frame : 26  Loop : 46760
[01/16/17 12:57:36] Frame : 14  Loop : 14
[01/16/17 12:57:37] Frame : 38  Loop : 16415
[01/16/17 12:57:39] Frame : 25  Loop : 50428
[01/16/17 12:57:40] Frame : 14  Loop : 14
[01/16/17 12:57:41] Frame : 38  Loop : 28600
[01/16/17 12:57:42] Frame : 24  Loop : 44182
[01/16/17 12:57:43] Frame : 27  Loop : 4266
[01/16/17 12:57:44] Frame : 25  Loop : 54394
[01/16/17 12:57:45] Frame : 22  Loop : 44395
[01/16/17 12:57:46] Frame : 29  Loop : 22350
[01/16/17 12:57:47] Frame : 25  Loop : 52330
[01/16/17 12:57:48] Frame : 25  Loop : 41647
[01/16/17 12:57:49] Frame : 28  Loop : 46945
[01/16/17 12:57:50] Frame : 25  Loop : 49256
[01/16/17 12:57:51] Frame : 25  Loop : 28816
[01/16/17 12:57:52] Frame : 22  Loop : 40979
[01/16/17 12:57:53] Frame : 30  Loop : 50106
[01/16/17 12:57:54] Frame : 26  Loop : 16113
[01/16/17 12:57:55] Frame : 16  Loop : 25496
[01/16/17 12:57:56] Frame : 35  Loop : 49899
[01/16/17 12:57:57] Frame : 23  Loop : 14563
[01/16/17 12:57:58] Frame : 16  Loop : 51
[01/16/17 12:57:59] Frame : 38  Loop : 28002
[01/16/17 12:58:00] Frame : 24  Loop : 37905
[01/16/17 12:58:01] Frame : 10  Loop : 10
[01/16/17 12:58:02] Frame : 43  Loop : 41543
[01/16/17 12:58:03] Frame : 20  Loop : 26126
[01/16/17 12:58:04] Frame : 25  Loop : 117
[01/16/17 12:58:05] Frame : 34  Loop : 51698
[01/16/17 12:58:06] Frame : 14  Loop : 14
[01/16/17 12:58:07] Frame : 40  Loop : 25550
[01/16/17 12:58:08] Frame : 24  Loop : 46373
[01/16/17 12:58:10] Frame : 11  Loop : 11
[01/16/17 12:58:11] Frame : 43  Loop : 42969
[01/16/17 12:58:12] Frame : 23  Loop : 38438
[01/16/17 12:58:13] Frame : 28  Loop : 25050
[01/16/17 12:58:14] Frame : 25  Loop : 59164
[01/16/17 12:58:15] Frame : 14  Loop : 19305
[01/16/17 12:58:16] Frame : 37  Loop : 50812
[01/16/17 12:58:17] Frame : 25  Loop : 57671
[01/16/17 12:58:18] Frame : 25  Loop : 20480
[01/16/17 12:58:19] Frame : 25  Loop : 60323
[01/16/17 12:58:20] Frame : 23  Loop : 55172
[01/16/17 12:58:21] Frame : 28  Loop : 50026
[01/16/17 12:58:22] Frame : 26  Loop : 53055
[01/16/17 12:58:23] Frame : 25  Loop : 41612
[01/16/17 12:58:24] Frame : 22  Loop : 50577
[01/16/17 12:58:25] Frame : 29  Loop : 60558
[01/16/17 12:58:26] Frame : 25  Loop : 43814
[01/16/17 12:58:27] Frame : 25  Loop : 21609
[01/16/17 12:58:28] Frame : 23  Loop : 7664
[01/16/17 12:58:29] Frame : 29  Loop : 53664
[01/16/17 12:58:30] Frame : 25  Loop : 48237
[01/16/17 12:58:31] Frame : 25  Loop : 47034
[01/16/17 12:58:31] Connect Session # IP:127.0.0.1 / SessionID:2 
[01/16/17 12:58:32] Frame : 21  Loop : 32972
[01/16/17 12:58:33] Frame : 30  Loop : 50086
[01/16/17 12:58:34] Frame : 26  Loop : 28887
